IND,LINHA_CODI,CODIGO,SENTIDO,NOME,DISTANCIA,DATA_CRIA,DECADA,PRI_VIAG,ULT_VIAG,COD_AREA,TP_LINHA,EMPRESA1,EMPRESA2,CONSORCIO,SUBSISTEMA,FROTA,MED_UTIL,MED_SAB,MED_DOM,MAX_581,MAX_582,MAX_16191,MAX_16192,TOT_PART,TP_FROT1,QTD_FROT1,TP_FROT2,QTD_FROT2,TP_FROT3,QTD_FROT3,TP_FROT4,QTD_FROT4,CLASSE,PASS_DIN,PASS_BCOM,PASS_BMENS,PASS_BEST,PASS_BESM,PASS_BVT,PASS_BVTME,PASS_INMC,PASS_INMCM,PASS_PAGA,PASS_INBUS,PASS_GRAT,TOTAL_PASS,END_GAR,TRECH_LOG,MS_REF
581,6824-10_2,6824-10,2,PQ. FERNANDA - TERM. CAPELINHA,7311.45,1998,1990,04:25,01:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,5,5032,3094,1805,4,5,4,4,77,B-SICO,3,PADRON,2,,0,,0,DIURNA  (D),4297,2668,2085,2940,1432,2753,353,5448,161,70939,4188,1439,127224,"Av. Carlos Lacerda, 2.551",92,Setembro
582,6825-10_1,6825-10,1,VALO VELHO - TERM. CAPELINHA,6332.41,1998,1990,04:00,00:55,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,9,7626,3097,1867,9,9,7,7,106,ARTICULADO,9,,0,,0,,0,DIURNA  (D),7330,3199,2096,3447,1874,3451,319,5196,170,86943,6072,1978,167450,"Av. Carlos Lacerda, 2.551",55,Setembro
583,6825-10_2,6825-10,2,VALO VELHO - TERM. CAPELINHA,7179.88,1998,1990,04:20,01:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,9,7626,3097,1867,9,9,7,7,109,ARTICULADO,9,,0,,0,,0,DIURNA  (D),7330,3199,2096,3447,1874,3451,319,5196,170,86943,6072,1978,167450,"Av. Carlos Lacerda, 2.551",79,Setembro
584,6826-10_1,6826-10,1,JD. DOM JOSÉ - TERM. CAPELINHA,5595.71,1998,1990,04:00,00:55,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,5,3619,2147,1496,7,6,5,5,83,B-SICO,3,PADRON,2,,0,,0,DIURNA  (D),4314,2159,1456,2174,1345,2080,169,3118,122,55095,3404,1070,99846,"Av. Carlos Lacerda, 2.551",74,Setembro
585,6826-10_2,6826-10,2,JD. DOM JOSÉ - TERM. CAPELINHA,5548.33,1998,1990,04:15,01:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,5,3619,2147,1496,6,7,5,5,83,B-SICO,3,PADRON,2,,0,,0,DIURNA  (D),4314,2159,1456,2174,1345,2080,169,3118,122,55095,3404,1070,99846,"Av. Carlos Lacerda, 2.551",79,Setembro
586,6835-10_1,6835-10,1,VALO VELHO - TERM. CAPELINHA,7093.66,1998,1990,04:00,01:00,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,12,4055,2239,2350,6,5,4,5,71,B-SICO,6,PADRON,6,,0,,0,DIURNA  (D),5452,2276,1736,2229,1410,2138,212,5593,148,60933,3975,1419,114876,"Av. Carlos Lacerda, 2.551",85,Setembro
587,6835-10_2,6835-10,2,VALO VELHO - TERM. CAPELINHA,7257.15,1998,1990,04:30,01:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,12,4055,2239,2350,5,6,5,4,73,B-SICO,6,PADRON,6,,0,,0,DIURNA  (D),5452,2276,1736,2229,1410,2138,212,5593,148,60933,3975,1419,114876,"Av. Carlos Lacerda, 2.551",95,Setembro
588,6835-31_1,6835-31,1,VALO VELHO - TERM. CAPELINHA,8307.03,2003,2000,04:15,00:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,6,4278,1975,72,6,6,5,5,72,B-SICO,3,PADRON,3,,0,,0,DIURNA  (D),3733,2208,1691,2217,1205,1875,217,4785,87,54776,3481,1152,101112,"Av. Carlos Lacerda, 2.551",92,Setembro
589,6835-31_2,6835-31,2,VALO VELHO - TERM. CAPELINHA,8155.29,2003,2000,04:45,01:05,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,6,4278,1975,72,6,6,5,5,72,B-SICO,3,PADRON,3,,0,,0,DIURNA  (D),3733,2208,1691,2217,1205,1875,217,4785,87,54776,3481,1152,101112,"Av. Carlos Lacerda, 2.551",94,Setembro
590,1775-10_2,1775-10,2,VILA ALBERTINA - CENTER NORTE,13657.69,1993,1990,06:20,23:45,AREA 2,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,5,2291,1805,958,3,4,3,2,40,MINIÔNIBUS,5,,0,,0,,0,DIURNA  (D),6727,1182,996,1508,1496,8263,85,1605,28,32534,1295,1243,57932,"Rua Antonelo da Messina, 1.726",136,Setembro
591,6836-10_1,6836-10,1,CAPAO REDONDO - TERMINAL JOAO DIAS,9909.57,1999,1990,04:00,00:45,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,8,7358,5266,4682,6,6,5,5,80,B-SICO,5,PADRON,3,,0,,0,DIURNA  (D),9980,3207,2911,3261,3248,3526,666,8481,169,96057,6986,2364,189564,"Av. Carlos Lacerda, 2.551",122,Setembro
592,6836-10_2,6836-10,2,CAPAO REDONDO - TERMINAL JOAO DIAS,9514.83,1999,1990,04:25,01:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,8,7358,5266,4682,6,6,5,5,83,B-SICO,5,PADRON,3,,0,,0,DIURNA  (D),9980,3207,2911,3261,3248,3526,666,8481,169,96057,6986,2364,189564,"Av. Carlos Lacerda, 2.551",122,Setembro
593,6837-10_1,6837-10,1,SHOP. PORTAL - TERM. CAPELINHA,11206.67,1999,1990,03:55,01:00,AREA 8,PERMISSAO,UNICOOPERS,,Transcap,SUBSISTEMA LOCAL,16,9636,7065,4772,8,8,8,8,119,MINIÔNIBUS,14,MIDIÔNIBUS,2,,0,,0,DIURNA  (D),1510,5080,4173,4504,3654,4620,650,5996,189,131273,8565,3232,249246,"Rua Cabaxi, 27",112,Setembro
594,6837-10_2,6837-10,2,SHOP. PORTAL - TERM. CAPELINHA,10566.04,1999,1990,04:40,01:30,AREA 8,PERMISSAO,UNICOOPERS,,Transcap,SUBSISTEMA LOCAL,16,9636,7065,4772,8,8,8,8,118,MINIÔNIBUS,14,MIDIÔNIBUS,2,,0,,0,DIURNA  (D),1510,5080,4173,4504,3654,4620,650,5996,189,131273,8565,3232,249246,"Rua Cabaxi, 27",107,Setembro
595,6840-10_1,6840-10,1,TER. ROD. J. JACIRA - TERMINAL CAPELINHA,14291.49,2000,2000,04:00,00:05,AREA 7,CONCESSAO,VIP,,CONS. SETE,SUBSISTEMA ESTRUTURAL,27,18445,13758,9661,17,15,8,13,178,B-SICO,17,PADRON,10,,0,,0,DIURNA  (D),1615,1021,6761,6177,6225,8528,1651,8920,466,233793,1937,4029,467815,"Estrada M' Boi Mirim, 10.100",118,Setembro
596,6840-10_2,6840-10,2,TER. ROD. J. JACIRA - TERMINAL CAPELINHA,13837.4,2000,2000,05:00,00:45,AREA 7,CONCESSAO,VIP,,CONS. SETE,SUBSISTEMA ESTRUTURAL,27,18445,13758,9661,15,17,13,8,183,B-SICO,17,PADRON,10,,0,,0,DIURNA  (D),1615,1021,6761,6177,6225,8528,1651,8920,466,233793,1937,4029,467815,"Estrada M' Boi Mirim, 10.100",124,Setembro
597,6913-10_1,6913-10,1,TERMINAL VARGINHA - TERMINAL BANDEIRA,29260.38,2004,2000,04:00,23:00,AREA 6,CONCESSAO,CIDADE DUTRA,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,53,47411,21454,13135,15,12,9,10,184,ARTICULADO (23 M),12,PADRON,0,ARTICULADO,1,BIARTICULADO,40,DIURNA  (D),4777,1907,1473,1958,1496,1668,1838,3063,876,488021,3193,9533,902659,"Rua Elisia Gonçalves Barcelos, 93",219,Setembro
598,6913-10_2,6913-10,2,TERMINAL VARGINHA - TERMINAL BANDEIRA,30369.97,2004,2000,05:05,00:15,AREA 6,CONCESSAO,CIDADE DUTRA,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,53,47411,21454,13135,12,15,10,9,184,ARTICULADO (23 M),12,PADRON,0,ARTICULADO,1,BIARTICULADO,40,DIURNA  (D),4777,1907,1473,1958,1496,1668,1838,3063,876,488021,3193,9533,902659,"Rua Elisia Gonçalves Barcelos, 93",217,Setembro
599,6913-21_1,6913-21,1,TERMINAL VARGINHA - ITAIM BIBI (CIRCULAR),48433.54,2005,2000,04:40,17:15,AREA 6,CONCESSAO,CIDADE DUTRA,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,14,0,0,0,6,0,7,0,29,ARTICULADO (23 M),2,ARTICULADO,1,BIARTICULADO,11,,0,DIURNA  (D),3837,2588,1868,1866,1844,2072,172,952,86,57235,5042,8111,115766,"Rua Elisia Gonçalves Barcelos, 93",377,Setembro
600,695D-10_1,695D-10,1,JD. STA. BARBARA - METRÔ JABAQUARA,20039.17,1992,1990,04:30,23:40,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,10,6014,3633,2144,4,3,3,3,55,B-SICO,10,,0,,0,,0,DIURNA  (D),1170,3107,2411,4131,2635,2724,192,9713,189,89297,3707,2331,149681,"Rua Jorge Duprat Figueiredo, 148",217,Setembro
601,1778-10_1,1778-10,1,JAÇANÂ - METRÔ SANTANA,12223.8,2008,2000,04:00,23:05,AREA 2,CONCESSAO,SAMBAIBA,,SAMBAIBA,SUBSISTEMA ESTRUTURAL,6,3383,2314,1316,5,0,4,0,67,B-SICO,6,MINIÔNIBUS,0,,0,,0,DIURNA  (D),6498,1777,1324,2013,1390,1156,108,1865,41,42587,2085,1599,79432,"Rua Maria Amália Lopes de Azevedo, 1.705",142,Setembro
602,695D-10_2,695D-10,2,JD. STA. BARBARA - METRÔ JABAQUARA,20215.29,1992,1990,05:35,00:50,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,10,6014,3633,2144,3,4,3,3,51,B-SICO,10,,0,,0,,0,DIURNA  (D),1170,3107,2411,4131,2635,2724,192,9713,189,89297,3707,2331,149681,"Rua Jorge Duprat Figueiredo, 148",231,Setembro
603,695H-10_1,695H-10,1,JD. HERPLIN - TERM. SANTO AMARO,21596.55,1987,1980,04:00,23:10,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,17,11203,6896,3913,7,6,4,6,82,B-SICO,0,PADRON,17,,0,,0,DIURNA  (D),1446,5513,5303,4819,5052,4501,638,3349,154,133931,6636,2885,229150,"Rua Jorge Duprat Figueiredo, 148",155,Setembro
604,695H-10_2,695H-10,2,JD. HERPLIN - TERM. SANTO AMARO,20774.66,1987,1980,05:00,00:10,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,17,11203,6896,3913,6,7,6,4,82,B-SICO,0,PADRON,17,,0,,0,DIURNA  (D),1446,5513,5303,4819,5052,4501,638,3349,154,133931,6636,2885,229150,"Rua Jorge Duprat Figueiredo, 148",154,Setembro
605,695T-10_1,695T-10,1,TERM. CAPELINHA - METRÔ VILA MARIANA,17590.13,1997,1990,04:20,23:50,AREA 7,CONCESSAO,TRANSKUBA,,CONS. SETE,SUBSISTEMA ESTRUTURAL,35,39484,14770,247,18,13,15,15,185,ARTICULADO,34,BIARTICULADO,1,,0,,0,DIURNA  (D),3420,1416,1337,1888,1118,1249,1474,2452,802,371006,2931,7461,738792,"Av. Carlos Lacerda, 3.003",153,Setembro
606,695T-10_2,695T-10,2,TERM. CAPELINHA - METRÔ VILA MARIANA,17686.78,1997,1990,05:05,00:35,AREA 7,CONCESSAO,TRANSKUBA,,CONS. SETE,SUBSISTEMA ESTRUTURAL,35,39484,14770,247,13,18,15,15,171,ARTICULADO,34,BIARTICULADO,1,,0,,0,DIURNA  (D),3420,1416,1337,1888,1118,1249,1474,2452,802,371006,2931,7461,738792,"Av. Carlos Lacerda, 3.003",142,Setembro
